strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps
首红断低吸1,002012.SZ,未知,2025-08-05,6.11,6.25,2025-08-06,0.022913256955810094,162092.0,True,1632
首红断低吸1,001306.SZ,未知,2025-08-06,94.98,96.66,2025-08-07,0.017687934301958228,127848.0,True,832
首红断低吸1,603400.SH,未知,2025-08-07,61.65,64.2,2025-08-08,0.04136253041362537,304470.0,True,16
首红断低吸1,002022.SZ,未知,2025-08-11,7.9,7.74,2025-08-13,-0.020253164556962043,-155312.0,False,-1
首红断低吸1,601606.SH,未知,2025-08-13,62.14,71.89,2025-08-14,0.15690376569037656,1178775.0,True,48
首红断低吸1,002342.SZ,未知,2025-08-18,8.7,8.99,2025-08-19,0.033333333333333444,289739.0,True,832
首红断低吸1,002660.SZ,未知,2025-08-19,10.3,10.03,2025-08-21,-0.026213592233009838,-235440.0,False,-1
首红断低吸1,002421.SZ,未知,2025-08-21,3.82,3.67,2025-08-25,-0.03926701570680626,-343455.0,False,-1
首红断低吸1,002692.SZ,未知,2025-08-26,5.66,5.74,2025-08-27,0.01413427561837457,118776.0,True,832
首红断低吸1,002186.SZ,未知,2025-08-27,13.93,14.95,2025-08-28,0.07322325915290737,623934.0,True,672
首红断低吸1,601116.SH,未知,2025-09-03,12.04,12.73,2025-09-04,0.057308970099667886,524124.0,True,-1
